file,two_theta,intensity,code,layer,location
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.08001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.12001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.16001,0.08152173913043478,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.20001,0.06956521739130435,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.24001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.28001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.32001,0.08586956521739131,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.36001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.40001,0.06521739130434782,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.44001,0.08804347826086957,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.48001,0.05978260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.52001,0.07065217391304347,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.56001,0.07608695652173914,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.60001,0.07608695652173914,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.64001,0.06847826086956521,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.68001,0.07717391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.72001,0.07934782608695652,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.76001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.80001,0.08043478260869565,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.84001,0.07391304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.88001,0.05760869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.92001,0.0641304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,15.96001,0.06304347826086956,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.00001,0.06847826086956521,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.04001,0.08804347826086957,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.08001,0.08260869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.12001,0.06630434782608696,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.16001,0.05543478260869565,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.20001,0.05760869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.24001,0.08369565217391305,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.28001,0.07934782608695652,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.32001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.36001,0.05869565217391304,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.40001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.44001,0.08586956521739131,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.48001,0.07717391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.52001,0.07282608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.56001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.60001,0.0891304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.64001,0.04891304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.68001,0.07065217391304347,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.72001,0.07934782608695652,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.76001,0.06086956521739131,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.80001,0.08478260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.84001,0.07934782608695652,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.88001,0.07391304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.92001,0.07717391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,16.96001,0.07391304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.00001,0.07391304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.04001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.08001,0.08695652173913043,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.12001,0.06956521739130435,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.16001,0.06086956521739131,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.20001,0.09456521739130434,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.24001,0.07717391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.28001,0.07065217391304347,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.32001,0.07065217391304347,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.36001,0.08804347826086957,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.40001,0.08695652173913043,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.44001,0.09021739130434785,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.48001,0.09130434782608696,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.52001,0.07282608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.56001,0.0891304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.60001,0.08804347826086957,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.64001,0.08260869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.68001,0.08152173913043478,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.72001,0.10434782608695652,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.76001,0.12282608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.80001,0.11739130434782608,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.84001,0.11739130434782608,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.88001,0.09565217391304348,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.92001,0.0967391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,17.96001,0.07717391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.00001,0.07608695652173914,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.04001,0.08586956521739131,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.08001,0.09565217391304348,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.12001,0.07608695652173914,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.16001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.20001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.24001,0.08152173913043478,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.28001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.32001,0.08043478260869565,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.36001,0.08695652173913043,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.40001,0.06521739130434782,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,18.44001,0.08043478260869565,H1,L1,Halifax
